[554197, 526836]
[299854, 401730]
[630617, 267261]
[54503, 154534]
[721149, 450393]
[490384, 415364]
[530280, 124119]
[456834, 529362]
[153796, 417385]
[198246, 146688]
[947494, 151846]
[1067789, 236595]
[109521, 221561]
[856443, 457039]
[808753, 583520]
[865343, 222283]
[538795, 250373]
[72441, 257122]
[1079545, 273867]
[385878, 260209]
[159427, 7160]
[708640, 384943]
[666549, 434565]
[520997, 310906]
[425428, 373694]
[1053259, 486738]
[293662, 396658]
[731143, 100297]
[875845, 577890]
[849345, 469025]
[98967, 129527]
[390580, 341049]
[848946, 199201]
[728664, 539819]
[515917, 26156]
[352811, 409153]
[610471, 470418]
[90178, 430886]
[517458, 405211]
[85682, 367860]
[1026237, 236745]
[117089, 658787]
[264956, 90869]
[79059, 445059]
[33463, 280041]
[303082, 67363]
[942971, 298405]
[795848, 244278]
[511903, 52071]
[65494, 527215]
